Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2UF","C0603",-0.007874,-0.200787,0.000000,bottom
"C9","10UF","C0603",0.137795,-0.236220,180.000000,bottom
"C11","0.1UF","C0402",-0.145669,0.070866,90.000000,bottom
"C12","0.1UF","C0402",-0.141732,-0.118110,90.000000,bottom
"C13","0.1UF","C0402",-0.059055,-0.161417,180.000000,bottom
"U1","MK32L2B_QFN32","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",0.000000,0.000000,90.000000,bottom
"U2","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",0.000000,0.275591,180.000000,bottom
"C8","2.2UF","C0603",0.161417,0.251969,-90.000000,top
"D1","LED_ARBG","LED_RGB_1x1mm_CW",0.000000,-0.019685,0.000000,top
"J2","I2C_STANDARDQWIIC","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",0.000000,0.283465,180.000000,top
"R1","2K","C0402",0.070866,0.000000,0.000000,top
"R2","1K","C0402",-0.055118,-0.019685,90.000000,top
"R3","1K","C0402",0.070866,-0.039370,0.000000,top
"R4","10K","C0402",-0.169291,0.196850,-90.000000,top
"R5","10K","C0402",-0.169291,0.275591,90.000000,top
"R6","10K","C0402",-0.149606,-0.137795,90.000000,top
"R7","10K","C0402",-0.157480,0.086614,180.000000,top
"SW1","SW_SPST","SW_SPST_B3U-1000P_tight",0.000000,-0.118110,180.000000,top
"SW2","SW_SPST","SW_SPST_B3U-1000P_tight",0.000000,0.078740,180.000000,top
